,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1979.0,0.0,21.0,0.0,50.0
1,1979.0,0.0,21.0,1.0,50.0
2,1979.0,0.0,21.0,2.0,50.0
3,1979.0,0.0,21.0,3.0,50.0
4,1979.0,0.0,21.0,4.0,50.0
5,1979.0,0.0,21.0,5.0,50.0
6,1979.0,0.0,21.0,6.0,50.0
7,1979.0,0.0,21.0,7.0,50.0
8,1979.0,0.0,21.0,8.0,50.0
9,1979.0,0.0,21.0,9.0,50.0
10,1979.0,0.0,21.0,10.0,50.0
11,1979.0,0.0,21.0,11.0,50.0
12,1979.0,0.0,21.0,12.0,50.0
13,1979.0,0.0,21.0,13.0,50.0
14,1979.0,0.0,21.0,14.0,50.0
15,1979.0,0.0,21.0,15.0,50.0
16,1979.0,0.0,21.0,16.0,50.0
17,1979.0,0.0,21.0,17.0,50.0
18,1979.0,0.0,21.0,18.0,50.0
19,1979.0,0.0,21.0,19.0,50.0
20,1979.0,0.0,21.0,20.0,50.0
